Data,PBEE_Hidroelectr,PBEE_Carbo,PBEE_GasNat,PBEE_Fuel-Oil,PBEE_CiclComb,PBEE_Nuclear,CDEEBC_ProdBruta,CDEEBC_ConsumAux,CDEEBC_ProdNeta,CDEEBC_ConsumBomb,CDEEBC_ProdDisp,CDEEBC_TotVendesXarxaCentral,CDEEBC_SaldoIntercanviElectr,CDEEBC_DemandaElectr,CDEEBC_TotalEBCMercatRegulat,CDEEBC_TotalEBCMercatLliure,FEE_Industria,FEE_Terciari,FEE_Domestic,FEE_Primari,FEE_Energetic,FEEI_ConsObrPub,FEEI_SiderFoneria,FEEI_Metalurgia,FEEI_IndusVidre,FEEI_CimentsCalGuix,FEEI_AltresMatConstr,FEEI_QuimPetroquim,FEEI_ConstrMedTrans,FEEI_RestaTransforMetal,FEEI_AlimBegudaTabac,FEEI_TextilConfecCuirCal√ßat,FEEI_PastaPaperCartro,FEEI_AltresIndus,DGGN_PuntFrontEnagas,DGGN_DistrAlimGNL,DGGN_ConsumGNCentrTerm,CCAC_GasolinaAuto,CCAC_GasoilA
11/2015,188.6,0,0,0,631.6,1522.2,2342.4,87,2255.4,28.9,2226.5,760.4,822.7,3809.6,0.0%,100.0%,1311.7,1120.3,809.3,32.1,47.7,18.4,150.2,12.7,27.3,26.6,22,429.3,61.9,104.3,168,61.2,82.3,147.5,5758.9,7.7,1412.9,63.2,284.6
12/2015,198.2,0,0,0,722.5,1940.6,2861.3,113.9,2747.3,32.6,2714.7,598.6,644.8,3958.1,0.0%,100.0%,1240.5,1088.8,892.1,28,48,18.8,142.8,12.8,24.1,27,21,408.6,60.1,100.5,155.4,59.3,69,141.2,6636.2,12.6,1574.7,70.1,296.4
01/2016,220.5,0,0,0,565,2351.7,3137.2,118.2,3019.1,47.6,2971.4,807.8,266.6,4045.8,0.0%,100.0%,1120.6,1122,998.1,29,49.6,19.2,120,11,22.5,24.6,18,379,50.3,84.2,154.7,50.6,69.4,116.9,6504.6,14.8,1242.8,60.4,285.7
02/2016,262.5,0,0,0,499.9,1875.8,2638.3,100.1,2538.1,52.2,2486,813.3,587.4,3886.7,0.0%,100.0%,1200.4,1083,941.7,27.1,49.6,19.1,136.8,11.7,24.5,27.4,19.3,418.2,53.7,92.4,144.6,54.6,67.7,130.4,6059,13.4,1156,64,304
03/2016,351.2,0,0,0,437,2306.2,3094.3,105.7,2988.6,41.3,2947.3,871.8,221.5,4040.6,0.0%,100.0%,1229.4,1074.2,943.8,27.3,46.2,18.9,132.7,13.1,29.9,27.6,20.2,405.9,59.8,101.9,149.1,57.8,72.6,139.9,5882.8,14.4,1007.5,69.1,324.4
04/2016,412.1,0,0,0,432.6,2243.6,3088.4,107,2981.4,41.4,2940,765.7,7.6,3713.3,0.0%,100.0%,1277.7,1107.6,926.6,29.2,49,19.1,145.1,12.5,25.6,28.3,23.6,433.2,59.9,98.7,153.4,59,74,145.3,4926.1,5.6,998.8,67.2,318.1
05/2016,551.1,0,0,0,505.1,1579.5,2635.8,91.6,2544.2,35.4,2508.8,839.9,381.9,3730.7,0.0%,100.0%,1260,1061.6,818.6,32.1,47,17.6,140.4,13.1,26.1,33.2,21.9,402.5,60.4,102.9,160.3,59,79.3,143.2,4501.1,4.7,1145,70.7,309.1
06/2016,395.9,0,0,0,551.6,2024,2971.5,110.6,2860.9,8.6,2852.3,755.7,197.1,3805.1,0.0%,100.0%,1298.1,1087.4,791.1,33.1,46.4,17.4,142.5,13,26.5,32.1,22.2,442.6,61.8,99.9,161.1,56.6,79.6,142.8,4250.4,2.7,1210.8,75,316.6
07/2016,256.4,0,0,0,578.3,2295,3129.7,119.8,3009.9,7,3002.9,798.9,492.7,4294.5,0.0%,100.0%,1300.5,1228.1,835.2,41.3,40.3,19.5,143.2,12.7,23.3,29.5,23.5,420.2,68.2,105.7,172.4,60.8,71.7,149.9,4566.4,1.4,1237.9,82.5,330.9
08/2016,213.6,0,0,0,530.2,2294.6,3038.4,121.4,2916.9,8.2,2908.7,697.4,321.5,3927.6,0.0%,100.0%,1314.2,1364.5,879.2,47.4,41.5,21.7,119.7,13.5,25.3,30.4,23.4,427.7,66,107.9,186.9,57.2,74.8,159.6,4116.5,2.9,1159.9,79.6,308.1
09/2016,164.3,0,0,0,560.5,2230,2954.9,117.1,2837.8,5.2,2832.6,677.3,495.7,4005.6,0.0%,100.0%,1203.6,1350.1,891.8,52.5,50.2,20,93.8,7.8,25.2,30.4,21,458.9,53.9,70.8,187.8,36.6,81.1,116.2,4543.5,2.2,1238.4,71.9,304
10/2016,122.2,0,0,0,890.6,2208.4,3221.1,126.9,3094.2,12.2,3082,651.5,62.3,3795.8,0.0%,100.0%,1332.6,1271.2,844.9,42.1,51.1,22.2,139.9,13.5,26.4,30,21.5,432.7,70.4,106.5,184.6,59.3,74.2,151.2,5502.5,4.3,1876.2,69.8,299.9
11/2016,178.2,0,0,0,841.8,1492.7,2512.8,98.4,2414.4,24.6,2389.8,762.9,739.9,3892.6,0.0%,100.0%,1330,1148.6,844.5,34.2,49.3,19.7,140.4,13.1,27.1,31.6,23,460.1,61,97.6,170.7,64.6,75.5,145.5,6396.9,10.2,1776.4,66.3,302.3
12/2016,209.8,0,0,0,858.6,1835.7,2904.1,116.9,2787.2,13.6,2773.6,644.1,624.7,4042.3,0.0%,100.0%,1261.1,1104.8,902.8,28.6,49.6,19.9,132,13.5,25.6,29,20.2,417.9,61.2,98.8,163.3,58.4,74.7,146.5,7208.3,17.2,1801.8,70.2,301.4
01/2017,220.8,0,0,0,686,2345.7,3252.5,119.5,3133,21.2,3111.9,846.4,469.6,4427.8,0.0%,100.0%,1144.7,1143,1127.7,29.2,52.9,21,114.2,10.9,26,23,19.8,392.5,50.3,83,151.6,58.8,72.2,121.4,7953.3,20.8,1472.2,60.8,285.1
02/2017,246,0,0,0,436.1,2125.8,2807.8,98.4,2709.5,24.6,2684.9,744.4,336.9,3766.2,0.0%,100.0%,1173.7,1135.8,990.9,26.8,50.7,21.8,133,13.2,27.1,34.4,20.7,351.2,56,98,155,48.3,73.6,141.4,5854.6,13.9,983.6,60.9,285.8
03/2017,350.4,0,0,0,487.5,2354,3191.9,110.3,3081.6,19.6,3061.9,805.3,118,3985.3,0.0%,100.0%,1213.9,1070.5,905.3,25.9,46.6,19.7,126.8,13.1,25.1,22.6,18.2,407.4,57.8,98.8,148.4,57.7,72.3,145.9,5805.7,10.4,1083,72.1,331.5
04/2017,341.3,0,0,0,424,2225.6,2990.9,113.6,2877.3,16.5,2860.8,791.4,-71.2,3581,0.0%,100.0%,1379.7,1116.1,842.7,27.2,50.7,19.8,154.8,14.5,27.7,32.5,22.3,473.2,63,106.2,164.8,62.3,80.9,157.8,4843.3,6.2,938.9,70.1,296.3
05/2017,428.9,0,0,0,487.1,1846.1,2762.1,95.6,2666.5,8.1,2658.4,845.7,370.7,3874.8,0.0%,100.0%,1263.8,1061.4,813.6,29.4,52.3,18.4,131.2,12,25.8,35.1,27,464.4,52.1,89.2,147.9,54,75.1,131.7,4768.6,6.5,1079.5,71.8,327.3
06/2017,341.4,0,0,0,822,1582.5,2746,97.3,2648.6,6.1,2642.5,801,705.2,4148.6,0.0%,100.0%,1397.5,1172.3,820.4,36.5,53.6,20.2,141.2,14.4,27.7,31.8,24.7,477.7,65.2,107.8,178.8,61.6,87,159.4,5084.3,3.5,1715.6,77.6,332.8
07/2017,233.9,0,0,0,816.1,2293.1,3343.1,124.8,3218.4,0.6,3217.7,830.1,318,4365.8,0.0%,100.0%,1360.9,1299.3,829.1,40.7,55.1,22,139.5,13.7,26.1,33.4,25.5,453.4,67.2,108,175.8,61.2,78.6,156.5,5078.8,2.6,1732.9,81.1,335.5
08/2017,210.1,0,0,0,780.4,2287.3,3277.8,124.7,3153.1,5.3,3147.8,760.8,153.6,4062.2,0.0%,100.0%,1383.6,1416.7,982.3,51.5,56.5,24.1,118.4,14.4,27.3,34.3,26.5,458.9,68.2,111.4,200.2,59.2,79.4,161.4,4662.7,2.7,1675.6,80.4,311.2
09/2017,186.4,0,0,0,647.2,2224.1,3057.8,116.8,2941,6.8,2934.2,721.9,164,3820.1,0.0%,100.0%,1199,1362.8,883.9,48.8,55.8,21.1,93.8,8.7,25.8,34.2,21,433.6,57.9,73.6,191.1,36.8,79.7,121.9,4709.8,0.2,1379.3,72.1,298.8
10/2017,140.2,0,0,0,858.7,2165.6,3164.5,123.1,3041.4,7,3034.4,725.2,83.3,3842.9,0.0%,100.0%,1329.6,1176,793.6,40.1,52.3,20.5,131.3,13.8,25.8,31.1,24.2,453.9,66.9,101.8,174.5,57.8,79.1,148.8,5391.3,3.8,1801.9,71.7,308.9
11/2017,113.6,0,0,0,1041.4,1521,2676,97.2,2578.8,11.1,2567.7,841.3,631.9,4040.9,0.0%,100.0%,1329.4,1183.3,888.7,35.3,52.8,21.3,143.2,13.7,26.3,34.3,24.3,432.5,66.1,102.2,174.1,58.6,80.7,151.9,7256.7,0.9,2139.6,66.4,309.9
12/2017,149.1,0,0,0,709.1,2284.4,3142.6,122.1,3020.5,33,2987.5,925.7,240,4153.2,0.0%,100.0%,1336.2,1103,1016.8,29.2,49.6,21.4,152.1,15.1,26.4,33.3,24.3,434.7,61.5,108.7,173.4,59.6,72.2,153.6,7698.7,1.6,1509.1,71.7,305.6
01/2018,213.5,0,0,0,623.8,2360.4,3197.8,116.2,3081.5,22.3,3059.3,975,-38.1,3996.2,0.0%,100.0%,1132.8,1191,1104.3,26.8,51.1,22,114.2,10.8,26.5,30.7,19.7,360.9,50.2,85.5,153.5,47.4,86.3,124.9,7136.1,23,1301.3,65.8,297.6
02/2018,198,0,0,0,586.9,2129.7,2914.6,98.2,2816.4,4.9,2811.4,786.8,293.2,3891.4,0.0%,100.0%,1225.3,1156.3,1029.8,27.3,50.3,20.8,137.2,13.9,23.7,30.5,23.1,342.9,59.3,108,166.5,60.3,86.3,152.6,7110.3,25.1,1233.5,62.8,291.3
03/2018,342.3,0,0,0,498.2,1556.4,2397,94.2,2302.7,19.7,2283,963.9,686.1,3933,0.0%,100.0%,1132.4,1090.5,1025,28.9,50.3,26.7,133.7,13.7,24.7,30.9,22.4,278.1,59.2,105,149.1,57.7,80.6,150.7,6269.8,21.4,1136.1,75.9,340.6
04/2018,513.9,0,0,0,440.3,1500.5,2454.7,89.9,2364.8,7.9,2356.9,831,350,3538,0.0%,100.0%,1232.2,1172.1,963.1,29,50.3,24.2,150.2,14.2,26.6,35.6,23.6,330.2,61.1,105.4,163.7,58.4,81.7,157.4,5075.1,8.4,988.8,71.2,308.9
05/2018,634.5,0,0,0,589.2,1442.6,2666.3,125.1,2541.2,5.6,2535.6,869.6,233.7,3638.9,0.0%,100.0%,1197.2,1102,824.8,29.7,53.8,21.4,144.8,13.4,25.6,34,23.9,327.3,58.4,98.4,165.2,53.6,79.8,151.6,5043,5.7,1289,77.9,334.1
06/2018,654.9,0,0,0,601.5,1373.3,2629.6,81.3,2548.3,2.5,2545.8,809.4,368.1,3723.3,0.0%,100.0%,1194.5,1127,779.1,31,50.3,21.6,146.5,14.7,27.2,33.6,25.2,323.5,67.9,101.3,151.4,58,76.8,146.9,4346.4,3.3,1269.6,81,332.1
07/2018,434.2,0,0,0,675.6,1602,2711.8,111,2600.8,1.3,2599.4,805.2,815.5,4220.1,0.0%,100.0%,1254.5,1221.4,879.2,38.8,50.2,21.7,143.8,14.6,25.2,27.3,24.5,326.1,72.1,113.4,176.2,56.1,83.2,170.1,4821.1,3.2,1466.6,89.7,351.1
08/2018,271.2,0,0,0,649.6,2305,3225.8,119.9,3105.8,1.2,3104.6,754.6,23.6,3882.9,0.0%,100.0%,1268.9,1432.1,1043.1,49.7,50.8,29.7,115.8,13.5,27.5,30.6,26.5,331.3,78.6,115.1,198.1,54.7,80.6,166.8,4495.4,4.1,1411.3,87.7,319.7
09/2018,217,0,0,0,588,2230.8,3035.8,112.3,2923.5,1.4,2922.1,680.6,98.3,3701,0.0%,100.0%,1095.3,1349,863.9,48.6,55.3,24.4,95.1,8.2,24.9,31.9,21.1,331.3,51.5,81.3,194.7,36.3,75.4,119.1,4638.5,3.7,1276,76.4,296.7
10/2018,210.7,0,0,0,588.4,2325.1,3124.2,115.2,3009,5.6,3003.4,838.8,-170.6,3671.6,0.0%,100.0%,1271.3,1339.4,863.9,42.8,55.1,19.4,139.4,12.5,25.9,31.9,25.2,345.9,64.5,110.8,206.2,54.8,82.1,152.7,5249.5,6.8,1269.6,79.4,329.1
11/2018,336,0,0,0,832.5,1714.1,2882.6,106.3,2776.3,4.1,2772.2,810.9,138.4,3721.5,0.0%,100.0%,1244,1147.3,802.8,29.9,52.8,27.1,150.9,13.3,25.4,33.2,25.6,310.1,63.7,108.1,190.5,57.4,83.5,155.3,6728.1,19.8,1752.6,73.6,318.8
12/2018,264.7,0,0,0,733.3,1411.9,2409.8,94.7,2315.1,4.7,2310.5,894.3,547.2,3752,0.0%,100.0%,1120.7,1143.9,1056,26.5,50.4,24.6,134.8,12,24.4,27.1,20.9,272.6,58.1,101.6,166.4,55.4,79.5,143.3,7009.4,29.9,1571.1,77,300.4
01/2019,195.3,0,0,0,888.5,2237.4,3321.2,119,3202.1,7.7,3194.5,1073.6,-35.5,4232.5,0.0%,100.0%,1076.7,1116,1027.6,27.6,57.9,23.6,125.4,11.2,25.5,32,21.2,318.2,51.3,80.5,147.2,44.6,74.6,121.4,8490.2,38.2,1874.1,72.1,315.8
02/2019,226.1,0,0,0,575.8,2130.4,2932.4,100.2,2832.2,10.1,2822.1,769,66,3657.1,0.0%,100.0%,1239.5,1184.8,1096.9,28.7,52.7,26.9,135.2,13.2,26.6,32.5,22.4,350.9,58.5,118.1,167.2,60.7,77.1,150.2,6453.4,26.9,1235.9,68.9,296.4
03/2019,206,0,0,0,437.8,2353.4,2997.1,82.5,2914.6,15.9,2898.6,888.3,-37.2,3749.7,0.0%,100.0%,1166.8,1112.7,862.6,26.7,51.8,20.6,129.7,12.9,25,21.6,22.6,333,58.5,107.4,167.1,47.5,74.6,146.2,5773,19.6,967.9,78.2,333.2
04/2019,205.3,0,0,0,451.8,1799.3,2456.4,106.2,2350.2,10.6,2339.6,879.4,288.7,3507.7,0.0%,100.0%,1271.2,1117.5,856.1,29.3,55.9,22.7,149.2,12.9,27.4,30.8,24.7,360.1,55.5,122.8,174.7,56.4,79.1,154.7,5267.8,18.3,1030,80,327.7
05/2019,344.7,0,0,0,941.5,1578.4,2864.6,98.6,2766,15.9,2750.1,935.2,-88.7,3596.6,0.0%,100.0%,1148,1068.1,837.7,27.1,54.1,21,144.9,11.8,26.8,32.5,23.9,305.4,53.5,99.5,166.5,50.3,72.9,139.2,5568.6,11.1,1608.1,82.6,344.2
06/2019,317.4,0,0,0,895.2,2088.7,3301.3,119.8,3181.6,5.1,3176.4,851.6,-387.7,3640.3,0.0%,100.0%,1260,1120.1,771,30.9,56.5,21.3,138.6,13.1,27,25.1,25.1,357.7,62.1,119.1,176.7,54.2,82,158,4898.5,7.6,1483.3,84.8,322.4
07/2019,214.3,0,0,0,1216.7,2265.2,3696.2,134.7,3561.5,11.5,3550,770.9,-36.3,4284.7,0.0%,100.0%,1260.2,1240.1,843.4,38.5,55.7,23.1,139.7,12.2,27,31.1,24,386.4,62.8,105.9,174.3,52.4,77.7,143.6,5334.5,6.8,1984.4,99,370.5
08/2019,190.4,0,0,0,1086,2214.6,3491,132.5,3358.5,6.9,3351.6,720.4,-249,3823,0.0%,100.0%,1302,1484.9,1037.8,46.8,56.8,27.2,106.9,13.8,27.2,30,25.4,385.9,67.7,125.2,199,54.5,86.3,152.9,4907.6,7.6,1917,94.2,318
09/2019,167.6,0,0,0,756.9,2245.5,3170,117.5,3052.5,9.3,3043.2,686.5,-69.2,3660.5,0.0%,100.0%,1094.9,1356.7,895.5,46,58,25.5,104.8,7,25.9,34.2,22.5,306.6,61.7,78.8,195.8,33.7,71.7,126.8,4955.9,7.6,1593,80.7,310.1
10/2019,171.3,0,0,0,691.7,2326,3189,117,3072,9.5,3062.5,717.6,-135.5,3644.7,0.0%,100.0%,1284.6,1230.1,757.1,35.5,54.6,23,135.5,12.3,26.3,30,24.2,390.9,65.5,116.4,187.7,51.8,76.2,145,5179.1,10.5,1460,87.1,346.2
11/2019,169.3,0,0,0,608,1692,2469.3,91.3,2378,25.4,2352.5,931.9,466.6,3751.1,0.0%,100.0%,1287.5,1237.5,907.3,29.5,41.5,24.5,140.7,13,28.7,33.3,26,362.5,67.3,117.8,183.1,56.2,80,154.5,6413.9,26.2,1328.6,77.9,321
12/2019,356.8,0,0,0,590.9,1664.2,2611.9,97,2514.9,46.9,2467.9,856.5,388.8,3713.3,0.0%,100.0%,1177.3,1153.8,977.8,27.3,42.8,22.2,139.2,12.2,27,35,23.9,319.7,51.5,108.8,169.9,53.4,77.6,137,6517.6,29.2,1310.2,83.4,320.3
01/2020,366.6,0,0,0,604.1,2356.2,3326.9,109.4,3217.5,35,3182.5,795.7,76.3,4054.4,0.0%,100.0%,1045.5,1153.5,1064.8,27.4,47.3,23.6,111.1,9.3,26.2,31.9,20.7,317,46.9,87.8,154.6,42.7,67.6,106.3,7461.3,37.5,1282.6,77.7,326.9
02/2020,318.6,0,0,0,406.4,2195.8,2920.8,101.6,2819.3,27.3,2791.9,823,-3.9,3611,0.0%,100.0%,1142.3,1160.9,993.2,26.1,50.6,24.2,133.2,12.1,25.3,24.8,21.9,316.5,59.9,110.7,159.5,51,76.5,126.6,5596.1,23.3,901.7,77.2,316.3
03/2020,395.5,0,0,0,205.7,2325.9,2927,97.2,2829.8,38.5,2791.3,874.4,-107.5,3558.3,0.0%,100.0%,1179.8,1063.1,858.2,25.2,47,23.2,129.3,11.9,25.4,30.2,22.8,330.3,68.8,114.6,168.6,51,74,129.8,5093,22,522.1,52.3,263.9
04/2020,505,0,0,0,294.9,2045.8,2845.7,98.4,2747.3,53.1,2694.2,723.1,-543.9,2873.4,0.0%,100.0%,1222,961.8,988.7,22.8,54.5,19.8,159.2,10.5,27.5,29.5,23.3,368.9,38.9,95.2,177,49.2,86.1,137,4136.1,12.7,706.4,17.4,156.5
05/2020,560.6,0,0,0,329.3,1516.1,2406.1,83.5,2322.6,28.4,2294.1,773.4,-8.6,3058.9,0.0%,100.0%,927.9,779.8,824.3,26.6,44.9,18.8,52.7,5.9,12.5,13.7,10.4,345.2,24.3,72.3,163.9,31.4,79.2,97.6,3775.5,5.2,771.9,32.3,204.5
07/2020,305.6,0,0,0,680.7,2310.3,3296.6,117.6,3179,18,3161.1,778.1,31.8,3970.9,0.0%,100.0%,1064.7,1055,848.1,35.3,49.4,24.5,70,6.2,20,30.8,16.9,363.1,52.4,92.5,164.4,42,71.1,110.8,4647.7,8.5,1445.1,91,319.8
06/2020,481.2,0,0,0,383.9,2000.5,2865.7,100.2,2765.5,19.8,2745.7,768.1,-267.5,3246.2,0.0%,100.0%,964.3,845.6,726.4,29.1,39,16.2,138.2,6.9,21.2,27.4,14.6,274.2,42.1,72.5,148,34.3,64.2,104.4,3865.5,6.1,835.7,62.9,261.2
08/2020,200.8,0,0,0,652.8,2298.5,3152.1,116.8,3035.3,13.6,3021.7,765.3,-100.9,3686.1,0.0%,100.0%,1235.3,1282.4,1034.3,45.7,46.4,26,115.8,8.1,22.2,31.4,19.7,372.7,75.9,108.7,187.5,50.5,75,141.7,4241,7.4,1394.4,84.2,273.7
09/2020,215.2,0,0,0,577.9,2083.9,2877,112.8,2764.2,16.7,2747.5,754,-26.9,3474.6,0.0%,100.0%,1001.7,1273.4,904.1,46.3,49.5,26,68.6,12.4,20.2,29.7,15.1,305.8,44.4,74.4,198.7,31.7,73,101.8,4472.1,6.7,1305.2,79.8,286.3
10/2020,264.4,0,0,0,579.7,1605.6,2449.7,88.4,2361.3,19.4,2342,928.8,273.9,3544.7,0.0%,100.0%,1198.1,1121,820.3,37.1,50.5,23.6,122,11.3,25.4,33,18.7,330.7,68.9,104.1,205.4,46.5,77.9,130.6,5027.2,14.7,1271.8,76.5,298
11/2020,258.2,0,0,0,532,1808.2,2598.4,99.8,2498.6,20.2,2478.3,746.3,303.3,3527.9,0.0%,100.0%,1222.2,1035,846,31.8,52.6,21.9,125.8,12,28,35.4,24.4,361,65.7,106.9,186.4,49.5,78.5,126.8,5539.3,19.3,1155.1,54.4,266.8
12/2020,267.3,0,0,0,295.1,2353.5,2915.9,107.5,2808.4,35.9,2772.5,962.2,102.1,3836.8,0.0%,100.0%,1174.7,1019.6,991.7,28,51.7,23.3,122.1,12,20.7,35.7,21.2,340.8,64.8,105.5,171.6,48.4,75.2,133.5,6256,35.1,705.4,67.9,287.5
01/2021,263.8,0,0,0,390.3,2316.7,2970.8,102.6,2868.2,37.3,2830.9,927.1,298.4,4056.3,0.0%,100.0%,1121.7,1097.3,1284.5,28.2,53.6,26.7,115.6,9.7,22.7,33.4,18.5,369.4,51.9,90.1,160.7,43.1,74,105.9,7152.3,38.2,934.1,49.8,237.8
02/2021,244,0,0,0,185.3,2011.3,2440.6,86.1,2354.5,47.5,2306.9,649.7,465,3421.6,0.0%,100.0%,1124,1050.7,975.5,25.7,51.3,24.8,136.5,11,18.9,28.1,17.8,327,59.6,91,163.9,46.1,78.6,120.7,5120.4,20.9,469.8,54.6,259.6
03/2021,256.8,0,0,0,235.2,2358.8,2850.8,104.8,2746,30.6,2715.4,760.8,242.5,3718.7,0.0%,100.0%,1102.7,955.6,897.4,24.6,50.5,20.9,130.1,11.6,20.1,29.2,19.4,290.4,58.2,107.7,160.1,50.9,75.1,129,5583,24.2,588.1,75.7,313.8
04/2021,237.1,0,0,0,367.1,2022.3,2626.5,104.3,2522.2,9.1,2513.1,659.8,186.6,3359.5,0.0%,100.0%,1222.1,1076.2,1006.8,28.9,55.7,24.4,128.6,12.9,27,36.6,22.6,336.3,64.9,110.4,183.8,54.8,83.2,136.6,5288.7,16.4,896.5,71.2,285.3
05/2021,342.6,0,0,0,338.3,1867.6,2548.4,93.5,2454.9,26.6,2428.4,728.5,176.8,3333.7,0.0%,100.0%,1118,950.9,776.7,26.7,53,23.4,125.2,11.7,22.9,32.2,20.4,299,59.3,101.4,166,47.8,82.9,125.8,4541.6,9.1,761.5,79.7,299.1
06/2021,317.7,0,0,0,509,1458.6,2285.4,88.7,2196.7,11.5,2185.2,657.5,674.6,3517.3,0.0%,100.0%,,,,,,,,,,,,,,,,,,,4538.6,7.4,1123.5,88.5,313.7
07/2021,198.9,0,0,0,383.9,2312.3,2895.1,113.6,2781.6,13,2768.6,729.3,403.2,3901,0.0%,100.0%,,,,,,,,,,,,,,,,,,,4344.3,8.3,851.8,97.9,329.2
10/2021,139.7,0,0,0,490.5,1905,2535.2,98.4,2436.8,16.7,2420.1,584,344.4,3348.5,0.0%,100.0%,,,,,,,,,,,,,,,,,,,4937.2,10.8,1078.5,87.1,304.5
11/2021,113.8,0,0,0,676.4,1488.6,2278.8,90.1,2188.7,16.5,2172.2,744.4,681.7,3598.2,0.0%,100.0%,,,,,,,,,,,,,,,,,,,6430.7,26.4,1464.3,81.6,310.8
12/2021,290.8,0,0,0,557.3,2157.1,3005.2,108.7,2896.5,27.6,2868.9,727.9,73.5,3670.3,0.0%,100.0%,,,,,,,,,,,,,,,,,,,6637.4,37.1,1215,85,310.8
01/2022,209.6,0,0,0,511,2358.7,3079.3,104.5,2974.8,16.8,2958.1,680.2,228.3,3866.5,0.0%,100.0%,,,,,,,,,,,,,,,,,,,6788.9,39.5,1116,70,284.1
